ORX,SK
OSK,CZ
OXA,FR;DE;IT;PL;GB,Multi-CSC
OXE,KZ;RU;AE,Multi-CSC
OXX,GR;PL;PT;RO;RS;ME;SK;ZA;CH,Multi-CSC
PAK,PK
PAN,HU,Telenor
PBS,PA
PCI,PR
PCL,IL,Pelephone
PCM,CA
PCS,GT
PCT,PR
PCW,PA,Cable & Wireless
PEB,PE
PEO,PE
PET,PE
PGU,GT
PHB,BE
PHE,ES
PHN,NL
PHU,VN
PKD,PK
PLS,PL,PLUS
PLX,BG
PMB,CA
PNG,PG
PNM,RS;ME
PNT,PE,Nextel
PRO,BE,Proximus
PRT,PL,Play
PSN,AR,Personal
PSP,PY,Personal
PTR,IL,Orange;Partner
PVT,PE,Viettel
QIC,NL
RCG,KH
REL,IN
RNG,TN
ROM,RO
RWC,CA,Rogers
SAC,DZ
SAM,PE,SAM
SAR,ID
SAU,FI
SBM,JP
SEB,EE;LV;LT
SEE,AL;BA;BG;HR;GR;XK;ME;MK;RO;RS;TR;MD;SI
SEK,UA,Kyivstar
SEM,MX
SEN,SE
SER,RU
SFR,FR,SFR
SIE,CI
SIM,SI,Si.mobile
SIN,SG,Singtel
SIO,SK
SJP,JP
SJR,CA
SKC,KR,SK Telecom
SKT,KR
SKZ,KZ
SLK,LK
SMA,PH,Smart
SMO,RS;ME
SNI,MA
SNT,RU
SOL,CA,Bell
SPN,GH
SPR,US,Sprint
SPT,VN
STG,SG,Starhub
STH,SG,StarHub
SUN,CH
SWA,BH;CY;IR;IQ;IL;JO;KW;LB;OM;QA;SA;SY;TR;YE;AE
SWC,CH,Swisscom
TBS,SV
TBT,CA,Tbaytel
TCC,TW
TCE,MX,Telcel
TCI,TW
TCL,PT,Vodafone
TDC,DK
TDR,DO
TEB,BA
TEC,CN
TEL,AU,Telus
TEN,NO,Telenor
TET,SE
TFN,US,TracFone
TFT,NL
TGP,PY,Tigo
TGR,GR
TGU,GT
TGY,HK
THE,TH
THL,TH
THO,TH
THR,IR
THS,TH
TIM,IT,TIM
TIY,CN
TLA,SE
TLC,VN
TLP,TR
TLS,CA,Telus
TLT,LT
TMB,US,T-Mobile
TMC,DZ;MK
TMH,HU,T-Mobile
TMK,US,MetroPCS
TML,BD
TMM,MX,Movistar
TMN,PT,TMN
TMO,HU
TMR,BR
TMS,SK
TMT,ME
TMU,GB,T-Mobile
TMZ,CZ,T-Mobile
TNL,NL,T-Mobile
TNO,SE
TNZ,NZ
TOP,RS;ME,VIP
TPA,PA
TPD,NL
TPH,PT,TPH
TPL,PL,T-Mobile
TPR,PR
TRA,HR
TRC,TR
TRG,AT,Telering
TSC,GB
TSI,IE
TSR,RS;ME,Telekom
TTR,AT
TTT,TT
TUN,TN
TUR,TR
TWM,TW
TWO,HR,TELE2
UFN,AR,Movistar
UFU,UY
UMC,UA
UNE,MX
UNI,FR
UPO,UY;PY
USC,US,US Cellular
UYO,UY
UZB,UZ
VAU,AU,Vodafone
VD2,DE,Vodafone
VDC,CZ,Vodafone
VDF,NL,Vodafone
VDH,HU,Vodafone
VDI,IE,Vodafone
VDP,NL
VDS,SE
VEL,BY
VFJ,FJ,Vodafone
VFK,JP
VGF,FR
VGR,GR,Vodafone
VIA,DE,O2
VIM,MK
VIP,HR,VIP-Net
VIR,GB
VMC,CA,Virgin
VMT,VE,Movistar
VMU,US,Virgin Mobile USA
VNZ,NZ,Vodafone
VOD,GB,Vodafone
VOM,IT
VTC,VN
VTL,VN
VTN,MO
VTR,CA,Vidéotron
VVT,BG,VVT
VZW,US,Verizon Wireless
WAN,TW
WDC,PK
WIN,IT,Wind
WST,HU
WTL,SA
XAA,US
XAC,CA
XAG,US
XAR,US
XAS,US
XAU,US,T-Mobile
XCS,CZ
XEB,BE
XEC,ES,Movistar
XEE,SE
XEF,FR
XEG,DE,1&1
XEH,HU
XEN,NL
XEO,PL
XEP,PT
XET,IT
XEU,GB;IE
XEV,VN
XEZ,CZ
XFA,ZA
XFC,ZA
XFE,ZA
XFM,ZA
XFU,SA,STC
XFV,ZA,Vodafone
XID,ID
XJP,JP
XME,MY
XNZ,NZ
XSA,AU
XSE,ID
XSG,AE
XSO,SG,Singtel
XSP,SG;SK
XSS,AE
XTC,PH
XTE,PH,Sun Cellular
XXV,VN
YOG,ES,Yoigo
ZTA,BR,Claro
ZTM,BR,TIM
ZTO,BR
ZTR,BR,Oi
ZVV,BR,Vivo
