Osmocom TAC database under CC-BY-SA v3.0 (c) Harald Welte 2016,
tac,model,model2
35246900,SGH-D100A
35247000,SGH-D100A
35247100,SGH-A800
35247200,SGH-A800
35247289,SGH-A800
35247300,SGH-C100
35247400,SGH-C100
35247500,Kejian K618
35247600,Kejian K618
35247700,SGH-S300
35247800,SGH-S300
35247900,SGH-V200
35248000,SGH-V200
35248100,SGH-X450
35248200,SGH-X450
35248300,SGH-X710
35250000,SGH-X718
35254301,SGH-X650
35255100,SGH-X718
35255200,SGH-E708
35255300,SGH-E708
35256800,SGH-D410
35256900,SGH-D410
35257000,SGH-D410
35257401,SGH-X520
35257600,SGH-V200
35258300,SGH-R220
35259300,SGH-Z100
35259400,SGH-R200
35259500,SGH-R200
35261900,SGH-P510
35262000,SGH-X600
35262100,SGH-X600
35262200,SGH-X608
35262300,SGH-X608
35263900,SGH-S408
35265001,SGH-X510
35265101,SGH-X530
35265201,SGH-X210
35269000,SGH-R210
35270601,SGH-X500
35270700,SGH-P108
35270800,SGH-E715
35271400,SGH-i700
35271500,SGH-P705
35274800,SGH-X100
35274900,SGH-N620
35275000,SGH-N620
35278100,SGH-N628E
35279600,SGH-E700A
35280700,SGH-P700
35280800,SGH-X108
35280901,SGH-E390
35283400,SGH-X105
35291700,SGH-S300
35291800,SGH-S300
35291900,SGH-S300
35292000,SGH-D418
35292100,SGH-D418
35296901,SGH-E906
35297001,706SC
35297101,SGH-X510
35298701,SGH-X830
35299200,SGH-T400
35299701,SGH-E570
35301200,SGH-X600A
35301300,SGH-X600A
35301400,SGH-X100A
35301500,SGH-X100A
35301600,SGH-E100A
35303900,SGH-V200
35307000,SGH-V200
35307100,SGH-X450
35307200,SGH-X458
35311901,SGH-X640
35312900,SGH-E700
35313000,SGH-E700
35313001,SGH-E900
35313100,SGH-E700
35313200,SGH-E700
35313201,SGH-E700
35313300,SGH-E700
35313301,SGH-E700
35313401,SGH-D520
35315301,SGH-E250
35315601,SGH-C300
35316001,SGH-P940
35318401,SGH-A617
35320000,SGH-i505
35321900,SGH-X605
35322500,SGH-E300
35324000,SGH-A790
35326100,SGH-S500
35327800,SGH-X105
35328700,SGH-A800
35328800,SGH-A800
35331800,SGH-W120
35331900,SGH-W120
35332000,SGH-W110
35332100,SGH-W110
35334800,SPH-W1100
35334900,SPH-W1200
35335901,SGH-D828E
35336101,SGH-i321
35336901,SCH-W569
35337001,SCH-W569
35341901,SGH-E496L
35342001,SGH-E490L
35344301,SGH-C400L
35344401,SGH-D900
35346600,SGH-X108
35346700,SGH-X100
35346800,SGH-X100
35346900,SGH-X100
35347000,SGH-D108
35348101,SGH-X200
35348201,SGH-T519
35348501,SGH-A401
35354001,SGH-X840
35354201,SGH-X166
35354900,SGH-Z105
35356601,SGH-X660
35357800,SGH-A800
35358600,SGH-E308
35358700,SGH-E308
35358800,SGH-C100
35358900,SGH-A800
35360400,SGH-X600
35360500,SGH-X600
35360600,SGH-R210
35361900,SGH-D410C
35362000,SGH-D410C
35362100,SGH-D410C
35362200,SGH-E810
35365500,SGH-C110
35367000,SGH-E100
35367100,SGH-E700
35367200,SGH-E318
35367300,SGH-E310C
35367400,SGH-E310
35367500,SGH-X100
35377701,SGH-A707
35380100,SGH-E820
35380200,SGH-E820
35380300,SGH-W109
35381000,SGH-P518
35382501,SGH-C408
35384501,SGH-E900
35385800,SGH-I530
35392100,SGH-P730
35392200,SGH-P730
35392300,SGH-E830
35392400,SGH-E715
35396300,SGH-R220
35396400,SGH-X105
35402300,SGH-X458
35405601,SGH-X820
35406200,SGH-T108
35406300,SGH-C200
35414700,SGH-Z105U
35415900,SGH-E800
35416000,E800
35419700,SGH-S341i
35426601,SGH-X160
35427300,SGH-X460
35429700,SGH-Z107
35429901,SGH-D900
35430000,SGH-E330
35436300,SGH-N700
35444701,SGH-X680
35445100,SGH-X610
35453100,SGH-S500
35453200,SGH-X450
35455400,SGH-A800
35455500,SGH-X450
35455600,SGH-E800
35462700,SGH-Z107V
35463301,SGH-X510
35467601,SGH-C300
35471001,SGH-X530
35471101,SGH-E900
35473100,SGH-Z107V
35479300,SGH-Z107
35479700,SGH-E850
35484200,SGH-E600
35485900,SGH-E630
35491400,SGH-E600
35505700,SGH-D500
35505800,SGH-D500
35508801,SGH-D900
35525301,SGH-U600
35528700,SGH-E720
35528800,SGH-E720
35536501,SGH-E250
35542900,SGH-X450
35544800,SGH-D500E
35550700,SGH-X430
35557700,SGH-A800
35571400,SGH-X480
35576300,SGH-X460
35580001,SGH-X160
35585400,SGH-E330
35589300,SGH-D500C
35589800,SGH-X620
35589900,SGH-X640
35590900,SGH-Z500
35591100,SGH-Z300
35597000,SGH-E310
35598600,SGH-X460
35600000,SGH-E330
35602400,SGH-D500
35608000,SGH-E330
35609400,SGH-D500
35609500,SGH-D500
35609600,SGH-D500
35609700,SGH-D500
35609800,SGH-D500
35611901,SGH-E900
35612600,SGH-E880
35615700,SGH-E620
35615800,SGH-E730
35643000,SGH-E340
35645500,S410i
35651100,E530
35651600,SGH-X480
35656300,SGH-E330
35658900,SGH-ZV30
35669000,X640
35675400,SGH-Z140
35675500,SGH-Z300
35678000,SGH-X480
35678100,SGH-X480
35689100,SGH-E630
35689300,SGH-X700
35702600,SGH-D720
35710200,SGH-E330N
35711100,X640
35711200,SGH-D600
35711400,SGH-D600E
35712100,E350
35712200,SGH-X800
35712800,SGH-D730
35715800,SGH-ZV10
35717500,S500i
35720500,SGH-3760
