Osmocom TAC database under CC-BY-SA v3.0 (c) Harald Welte 2016,
tac,model,model2
35291306,GT-S7580
35312107,SM-G928C
35316405,GT-I9300
35316605,GT-I9300
35322206,SM-G900F
35341206,GT-I9300
35360907,SM-G920F
35362107,SM-G925F
35371905,GT-I9300
35380106,SM-G900F
35381805,GT-I9300
35387607,SM-N920A
35402105,GT-I9260
35402707,SM-N9005
35420106,SM-N910F
35431205,GT-S6500
35435007,SM-G361F
35445107,SM-G530A
35460907,SM-G531F
35488606,SM-G900F
35489906,GT-I9195
35492605,I9500 Fraser
35500707,SM-G800F
35502407,SM-G360T1
35517205,GT-I9505
35520606,SM-G900FD
35525805,GT-I8190L
35526907,SM-J500FN
35530806,SM-G313HZ
35544805,GT-S6810
35559005,GT-S6810L
35563707,SM-G360T1
35582806,SM-G901F
35583506,GT-I9301I
35584706,GT-I9515
35591107,SM-G935P
35592104,Nexus S
35592207,SM-G920F
35596006,GT-I9195
35614506,SM-G313HN
35616107,SM-A310F
35642207,SM-G890A
35656405,GT-N5100
35690006,SM-N910F
35709706,SM-N915FY
35722106,SM-N910F
35733907,SM-J500FN
35737805,GT-I9300
35737906,SM-G530FZ
35746006,SM-G925F
35750605,GT-I9505
35752305,SM-N9008
35752806,SM-G350
35763405,GT-I9505
35776507,SM-A510F
35796305,GT-I9192
35801806,GT-I9195I
35818705,GT-I9300
35818805,GT-I9505
35831006,SM-T231
35840104,GT-I9100G
35840206,SM-J200H
35854806,SM-A500H
35894506,SM-J100M
35902104,GT-I9100
35904005,GT-I9300
35904006,SM-G355H
35904105,GT-I9190
35909004,GT-I9100
35910905,SM-T211
35913506,SM-G360T
35935406,SM-G360T1
35946906,SM-A500FU
35958504,GT-I9100
35961604,Galaxy Note N7000
35965506,SM-A300FU
35982906,SM-T817T
35990006,SM-A500FU
50787172,SM-N900A
99000115,SCH-I535
99000337,SPH-L720
99000343,SCH-I545
99000444,SPH-L720T
99000447,SM-G900P
99000452,SM-G900P
99000470,SM-N910P
99000474,SM-N910P
99000491,SM-G900P
99000579,SM-G920P
99000590,SM-G360V
99000696,SM-G900P
35494804,GT-B3740
35503104,Nexus S
35783603,GT-B5310
35800104,Galaxy S
35472604,GT-E1080i
35839804,Galaxy Xcover
35174605,GALAXY Nexus
35479505,Galaxy Tab 2 7.0 GSM
35397505,Galaxy S III
35255704,SGH-S5230
35954804,Galaxy Note N7000
35172205,Galaxy Plus
35372606,Galaxy S5
35360805,SGH-S5230
35804804,GALAXY mini
35342508,SM-G930V
35155907,SM-G920W8
35328506,SM-G900H
35407705,GT-P5100
35525807,SM-J320P
35526604,GALAXY Nexus
35542805,GT-N7105
35598305,GT-I9105
35627507,SM-G531F
35642705,GT-I9506
35757205,SM-N900A
35952206,SM-G925F
35966906,SM-G925I
99000580,SM-S820L
10449733,SM-G925F
35171808,SM-A910F
35214907,SM-N910C
35232608,SM-G930A
35262108,SM-J510FN
35275006,GT-I9301I
35282806,SM-N9005
35283006,SM-P605
35316705,GT-I9300
35361207,SM-N920I
35368206,SM-G900T
35369006,SM-G355HN
35375307,SM-G928T
35426905,GT-N7100
35469606,SM-G386W
35505605,GT-N7100
35559105,GT-S6810B
35564407,SM-G531H
35642007,SM-G925F
35655405,SGH-I537
35681207,SM-J111M
35701107,SM-G920F
35733007,SM-G935F
35739705,SM-T311
35794906,GT-I9192I
35816607,SM-G935V
35925907,SM-S120VL
35935622,SM-G530H
35945707,SM-G935F
35946206,SM-G920T
35959507,SM-N930W8
35987806,SM-G920F
99000333,SCH-R530C
99000495,SM-N910P
99000591,SM-J100VPP
35116947,SM-G900F
35272508,SM-J320F
35401705,GT-I9300
35532406,SM-N9106W
35637706,SM-A300F
35672207,SM-A5108
35733104,GALAXY Gio
35751805,SM-N900T
35774306,SM-G920A
35827106,SM-E500H
35851107,SM-G550T
35898607,SM-J320H
35970105,SM-T111
35377308,SM-G935F
35530606,Galaxy Note 4
35815207,Galaxy S7
35182707,A310F
35837404,Xcover 2
35650806,GT-1272LKASER
35650706,GT-E1272LKASER
35733204,GALAXY Gio
35200309,Galaxy Note 8 LTE
35917610,SM-A105F/DS (SIM2)
35917510,SM-A105F/DS (SIM2)
35568311,SM-A107F/DS (SIM2)
35568211,SM-A107F/DS (SIM2)
35332610,SM-G960F/DS (SIM2)
35332510,SM-G960F/DS (SIM2)
35469911,SM-A115F/DSN (SIM2)
35469811,SM-A115F/DSN (SIM2)
35159811,SM-A307FN/DS (SIM2)
35159711,SM-A307FN/DS (SIM2)
35342111,SM-A107F/DS (SIM2)
35342011,SM-A107F/DS (SIM2)
35635708,SM-G960N
35352409,SM-G960N
35571110,SM-A205FN/DS (SIM2)
35571010,SM-A205FN/DS (SIM2)
35153205,Duos GT-3782 (SIM2)
35153105,Duos GT-3782 (SIM1)
35322911,SM-A202F
35255111,SM-A405FN
35787010,SM-A405FN
35322811,SM-A202F
35795510,SM-A105F/DS (SIM2)
35795610,SM-A105F/DS (SIM2)
35642409,Galaxy A6+
35589409,G960
35357505,GT-I9305
35211005,GT-I9100G
35694605,GT-I8730
35158611,SM-A115F/DSN (SIM2)
35195305,GT-E1080
35904108,SM-G960N
35664610,A50
35345678,Galaxy Note8
35815007,Galaxy S7
99000478,SM-A5009
35472708,SM-S727VL
35260109,Galaxy S7
35302405,Galaxy S III T999
35679504,Gravity TXT T379
35524502,SGH-L170
35824901,SGH-J600E
35752600,SGH-i750
35560005,GT-S5360
35859003,GT-S5350
35204705,GT-E1200M
35902100,Galaxy S II
35424305,Galaxy
35275005,B2100
35067889,SM-A515F/DSN
35801905,GT-P3100 Galaxy Tab 2 7.0 3G 32GB
35800207,SM-J500F/DS Galaxy J5 Duos TD-LTE
35800107,SM-J500F/DS Galaxy J5 Duos TD-LTE
35360307,SM-J100H/DS Galaxy J1 Duos
35360207,SM-J100H/DS Galaxy J1 Duos
35753906,SM-J100H
35362709,Galaxy A5 (2017)
35561610,SM-A205FN/DS (SIM2)
35603310,SM-G970U
35764412,SM-S918U,SM-S918U1
35871071,SM-S918B
35579646,SM-S908U,SM-S908U1
35853313,SM-S908B
35443359,SM-G998U,SM-G998U1
35604429,SM-A546U,SM-A546U1
35283865,SM-A546E
35162868,SM-S711U,SM-S711U1
35555251,SM-S911U,SM-S911U1
35552064,SM-S916U,SM-S916U1
35054546,SM-A146U,SM-A146U1
35010221,SM-G990U,SM-G990U1
35691988,SM-S901U,SM-S901U1
35604539,SM-S901B
35077953,SM-S906U,SM-S906U1
35722169,SM-G991U,SM-G991U1
35379961,SM-G996U,SM-G996U1
35260976,SM-A536U,SM-A536U1
35381935,SM-N986U,SM-N986U1
35004331,SM-N981U,SM-N981U1
35458644,SM-G781U,SM-G781U1
35426811,SM-G981U,SM-G981U1
35164844,SM-A346B
35557942,SM-P615
35136403,SM-A528B
35151894,SM-A226B
35412080,SM-A236B
35827732,SM-X716B
35895769,SM-X906B
35001390,SM-A336B
35549089,SM-A536B
35075648,SM-A546B
35282829,SM-A736B
35861531,SM-S711B
35234911,SM-A515F
35905189,SM-A145R
35883293,SCV49
35556876,SM-M526BR
35832080,SM-M526B
35199229,SM-A546S
35009071,SM-A546E
35404988,SM-A528N
35259950,SM-A528B

